user,text,place,created_at
Chad Orzel,"On my way out, I bumped into a colleague, who asked where I was going. I said I was headed to the Dean to hear abou? https://t.co/KrSMb0L8CR","New York, USA",Wed Mar 27 11:15:18 +0000 2019
Rosemarie Sullivan,@GStephanopoulos You looked like a total a$$ interviewing Rahm Emanuel. Interrupting him and then telling him we have to go. I mean really.,"New York, USA",Wed Mar 27 11:15:29 +0000 2019
Jim Parrillo ??????,@CoalescedChaos I can't wait for the Lady Gaga musical. It needs to happen.,"New York, USA",Wed Mar 27 11:15:33 +0000 2019
Don Tetrault,@WhiteHouse Shit it down!,"New York, USA",Wed Mar 27 11:15:50 +0000 2019
Denise Gotell,Special welcome @DrJeanforkids to @ThomasMoreOCSB We look forward to meeting and learning with you during your visi? https://t.co/qErNk8AD3V,"Ottawa, Ontario",Wed Mar 27 11:16:11 +0000 2019
.,ayo hold up one sec,"New York, USA",Wed Mar 27 11:16:16 +0000 2019
connaughtpscouncil,Looking forward to a ?souper? meal at Stone Soup tonight! We?ll have delicious soups from amazing local restaurants? https://t.co/FZk2qOZ1B8,"Ottawa, Ontario",Wed Mar 27 11:17:02 +0000 2019
Chad Orzel,"I didn't really think that much of it, because it wasn't out of the normal range of conversations with him. What I? https://t.co/qiOLHxDTww","New York, USA",Wed Mar 27 11:17:09 +0000 2019
Rochester Weather,"current weather in Rochester: clear sky, 22?F
73% humidity, wind 3mph, pressure 1032mb","New York, USA",Wed Mar 27 11:17:22 +0000 2019
Gabriel,"Do you remember when you joined Twitter? I do! #MyTwitterAnniversary actually, I had no idea ?? https://t.co/2tcao5wEDc","Ottawa, Ontario",Wed Mar 27 11:17:44 +0000 2019
Atteiramzoz,Yeeeey! I just miss few of them! ??,"New York, USA",Wed Mar 27 11:17:54 +0000 2019
Meghan O'Connor?? I AM THE CHANGE,@WeResistHim @ananavarro If I dont get up before the kids and enjoy a coffee and some news in the quiet of solitude? https://t.co/KucTDEdpeK,"Ottawa, Ontario",Wed Mar 27 11:17:55 +0000 2019
Alexis Bhagat,@albanyjen #lastdaysofthe2partysystem.,"New York, USA",Wed Mar 27 11:18:04 +0000 2019
Didactic Puma??,200 miles!,"New York, USA",Wed Mar 27 11:18:08 +0000 2019
Pastry Ranger,Oh my god.,"New York, USA",Wed Mar 27 11:18:27 +0000 2019
CGI Nerd,I'm team #GIF. How do you pronounce it?,"New York, USA",Wed Mar 27 11:18:43 +0000 2019
Journey UCC,https://t.co/GQef3F8ZBb,"New York, USA",Wed Mar 27 11:18:58 +0000 2019
Chad Orzel,The only people who got called to the Dean's office to learn about the result in person were those who had failed.? https://t.co/Dehy70BDiP,"New York, USA",Wed Mar 27 11:18:59 +0000 2019
Gino Legal Migrant,I'd ask if anyone could explain why Hussein's merry band of terrorists ordered troops to ignore War Crimes &amp; rescue? https://t.co/9sSSUHv62y,"New York, USA",Wed Mar 27 11:19:15 +0000 2019
Apss wif za kudi????,@Odala_ @tolutezzy_ ??,"Ottawa, Ontario",Wed Mar 27 11:19:21 +0000 2019
UAlbanyCornerstone,https://t.co/zXvE6S0La5,"New York, USA",Wed Mar 27 11:19:21 +0000 2019
